sample_name	sample_identifier	num_bases	collection_date	country	state	county	precise_location	region	influenza_status	sex	influenza_level	ct_value	genotype	ha_subtype	na_subtype	HA_NA
SRR5275117	UCD.11.02546	10439000	2011-08-12	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	female	0	NA	NA	neg	neg	neg
SRR5275116	UCD.11.02547.V.H3	13421000	2011-08-12	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	male	2	36.74	6	3	8	H3N8
SRR5275115	UCD.11.02549.V.H3	9365500	2011-08-12	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	female	1	40.55	6	3	8	H3N8
SRR5275114	UCD.11.02552.V.H4	12180500	2011-08-12	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	male	2	37.23	22	4	8	H4N8
SRR5275113	UCD.11.02563.P.H4	12969500	2011-08-12	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	female	3	30.82	18	4	6	H4N6
SRR5275112	UCD.11.02566.P.H4	16088000	2011-08-12	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	female	2	35.3	23	4	8	H4N8
SRR5275111	UCD.11.02584.P.H4	10723000	2011-08-12	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	male	1	42.61	24	4	9	H4N9
SRR5275110	UCD.11.02589.P.H4	15638500	2011-08-12	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	male	2	35.4	11	4	1	H4N1
SRR5275109	UCD.11.02590.V.H4	16037500	2011-08-12	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	male	2	35.06	19	4	6	H4N6
SRR5275108	UCD.11.02594.P.H4	11891000	2011-08-12	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	female	3	34.83	18	4	6	H4N6
SRR5275107	UCD.12.02721.P	7694500	2012-07-09	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	female	0	NA	NA	neg	neg	neg
SRR5275106	UCD.12.02722.P	11325000	2012-07-09	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	male	0	NA	NA	neg	neg	neg
SRR5275105	UCD.12.02723.P	22415000	2012-07-09	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	NA	0	NA	NA	neg	neg	neg
SRR5275104	UCD.12.02724.P	12306500	2012-07-09	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	male	0	NA	NA	neg	neg	neg
SRR5275103	UCD.12.02725.P	10955000	2012-07-09	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	male	0	NA	NA	neg	neg	neg
SRR5275102	UCD.12.02726.P	13744500	2012-07-09	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	female	0	NA	NA	neg	neg	neg
SRR5275101	UCD.12.02727.P	12249500	2012-07-09	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	male	0	NA	NA	neg	neg	neg
SRR5275100	UCD.12.02729.P	8650000	2012-07-09	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	female	0	NA	NA	neg	neg	neg
SRR5275099	UCD.12.02730.P	16191000	2012-07-09	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	female	0	NA	NA	neg	neg	neg
SRR5275098	UCD.12.02743.VB.H3	12392500	2012-07-09	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	female	2	38.78	7	3	8	H3N8
SRR5275097	UCD.12.02744.VB.H3	15699500	2012-07-11	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	female	2	35.55	7	3	8	H3N8
SRR5275096	UCD.12.02762.VA.H3	17060000	2012-07-11	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	female	2	36.66	7	3	8	H3N8
SRR5275095	UCD.12.02783.VA.H3	16309000	2012-07-13	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	male	2	39.92	9	3	8	H3N8
SRR5275094	UCD.12.02829.VA.H2	10633000	2012-07-16	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	male	3	34.16	1	2	3	H2N3
SRR5275093	UCD.12.02833.VA.H2	15566500	2012-07-16	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	male	3	33.41	1	2	3	H2N3
SRR5275092	UCD.12.02838.VB.H2	16465000	2012-07-16	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	male	2	35.26	1	2	3	H2N3
SRR5275091	UCD.12.02839.VB.H2	5277500	2012-07-16	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	female	3	30.7	2	2	3	H2N3
SRR5275090	UCD.12.02840.VB.H2	13561000	2012-07-16	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	male	3	33.83	2	2	3	H2N3
SRR5275089	UCD.12.02841.VA.H2	11800500	2012-07-16	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	male	1	40.36	2	2	3	H2N3
SRR5275088	UCD.12.02858.VB.H2	4242000	2012-07-18	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	male	3	34.48	4	2	7	H2N7
SRR5275087	UCD.12.02867.VB.H2	5850500	2012-07-18	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	male	3	31.38	2	2	3	H2N3
SRR5275086	UCD.12.02885.VB.H2	12820000	2012-07-20	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	male	4	29.43	3	2	3	H2N3
SRR5275085	UCD.12.02904.VB.H3	16569000	2012-07-20	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	male	2	39.01	9	3	8	H3N8
SRR5275084	UCD.12.02924.VB.H3	19359500	2012-07-23	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	female	2	39.45	8	3	8	H3N8
SRR5275083	UCD.12.02945.VB.H3	13375000	2012-07-23	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	female	2	36.68	10	3	8	H3N8
SRR5275082	UCD.13.01343	15661500	2013-07-18	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	female	0	NA	NA	neg	neg	neg
SRR5275081	UCD.13.01344	10448000	2013-07-18	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	male	0	NA	NA	neg	neg	neg
SRR5275080	UCD.13.01345	4814500	2013-07-18	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	female	0	NA	NA	neg	neg	neg
SRR5275079	UCD.13.01346	18224000	2013-07-18	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	female	0	NA	NA	neg	neg	neg
SRR5275078	UCD.13.01347	14573000	2013-07-18	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	male	0	NA	NA	neg	neg	neg
SRR5275077	UCD.13.01349.VB.H4	14915500	2013-07-22	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	female	2	36.77	20	4	6	H4N6
SRR5275076	UCD.13.01351	19838500	2013-07-22	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	female	0	NA	NA	neg	neg	neg
SRR5275075	UCD.13.01352	13138000	2013-07-22	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	female	0	NA	NA	neg	neg	neg
SRR5275074	UCD.13.01354	13660500	2013-07-22	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Neg	female	0	NA	NA	neg	neg	neg
SRR5275073	UCD.13.01357.VB.H5	13428000	2013-07-22	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	female	3	33.32	27	5	5	H5N5
SRR5275072	UCD.13.01358.PA.H4	14044000	2013-07-22	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	male	1	40.14	21	4	6	H4N6
SRR5275071	UCD.13.01369.VB.H4	14690000	2013-07-22	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	female	3	33.28	21	4	6	H4N6
SRR5275070	UCD.13.01370.VA.H5	14856500	2013-07-22	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	female	4	24.78	28	5	5	H5N5
SRR5275069	UCD.13.01371.VA.H5	15632000	2013-07-22	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	female	2	35.71	28	5	5	H5N5
SRR5275068	UCD.13.01375.VA.H5	30007500	2013-07-22	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	female	3	32.99	28	5	5	H5N5
SRR5275067	UCD.13.01376.VB.H5	14684000	2013-07-22	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	female	3	34.66	28	5	5	H5N5
SRR5275066	UCD.13.01386.VB.H5	16600500	2013-07-23	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	female	0	NA	NA	5	neg	H5N5
SRR5275065	UCD.13.01392.VB.H5	16092500	2013-07-23	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	male	4	25.22	28	5	5	H5N5
SRR5275064	UCD.13.01395.VB.H5	19845500	2013-07-23	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	male	4	28.84	28	5	5	H5N5
SRR5275063	UCD.13.01396.VB.H4	19480000	2013-07-23	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	female	2	38.17	21	4	6	H4N6
SRR5275062	UCD.13.01397.VB.H5	12170000	2013-07-23	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	male	3	31.35	28	5	5	H5N5
SRR5275061	UCD.13.01398.VB.H4	17838000	2013-07-23	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	female	2	36.17	21	4	6	H4N6
SRR5275060	UCD.13.01399.VB.H5	18731500	2013-07-23	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	female	3	32.48	28	5	5	H5N5
SRR5275059	UCD.13.01483.VB.H4	19774500	2013-07-30	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	male	3	30.94	21	4	6	H4N6
SRR5275058	UCD.13.01486.PA.H4	14670000	2013-07-30	USA	California	 Solano County	Grizzly Island Wildlife Area	Suisun Marsh	Pos	male	2	39.82	21	4	6	H4N6
