SampleID,Influenza,IAV_level,Ct value,Genotype,HASubType,NASubType,HANASubType,Sex,Date,Location,Year,Description
UCD.13.01371.VA.H5,Pos,2,35.71,28,5,5,H5N5,F,22-Jul-13,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2013,Pos_2013_Anasplatyrhynchos
UCD.13.01375.VA.H5,Pos,3,32.99,28,5,5,H5N5,F,22-Jul-13,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2013,Pos_2013_Anasplatyrhynchos
UCD.13.01376.VB.H5,Pos,3,34.66,28,5,5,H5N5,F,22-Jul-13,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2013,Pos_2013_Anasplatyrhynchos
UCD.13.01386.VB.H5,Pos,0,NA,NA,5,neg,neg,F,23-Jul-13,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2013,Neg_2013_Anasplatyrhynchos
UCD.13.01392.VB.H5,Pos,4,25.22,28,5,5,H5N5,M,23-Jul-13,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2013,Pos_2013_Anasplatyrhynchos
UCD.13.01395.VB.H5,Pos,4,28.84,28,5,5,H5N5,M,23-Jul-13,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2013,Pos_2013_Anasplatyrhynchos
UCD.13.01396.VB.H4,Pos,2,38.17,21,4,6,H4N6,F,23-Jul-13,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2013,Pos_2013_Anasplatyrhynchos
UCD.13.01397.VB.H5,Pos,3,31.35,28,5,5,H5N5,M,23-Jul-13,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2013,Pos_2013_Anasplatyrhynchos
UCD.13.01398.VB.H4,Pos,2,36.17,21,4,6,H4N6,F,23-Jul-13,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2013,Pos_2013_Anasplatyrhynchos
UCD.13.01399.VB.H5,Pos,3,32.48,28,5,5,H5N5,F,23-Jul-13,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2013,Pos_2013_Anasplatyrhynchos
UCD.13.01483.VB.H4,Pos,3,30.94,21,4,6,H4N6,M,30-Jul-13,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2013,Pos_2013_Anasplatyrhynchos
UCD.13.01486.PA.H4,Pos,2,39.82,21,4,6,H4N6,M,30-Jul-13,"GrizzlyIslandWildlifeArea(GIWA),SolanoCounty",2013,Pos_2013_Anasplatyrhynchos
,,,,,,,,,,,,
